RUT_CLIENTE;RAZON_SOCIAL;TELEFONO;DIRECCION;COMUNA;CIUDAD;EMAIL;INFO;MONTO_CREDITO;CLASIFICACION;ZONA;ID_TIPO_CLIENTE;CONDICION_DE_VENTA;GIRO;ID_ACTIVIDAD_COMERCIAL;RUT_CLIENTE_PADRE
93626000-4;IMPORTADORA Y MANUFACTURERA;2224103000;SANTA ISABEL 1001;PROVIDENCIA;SANTIAGO;ATENCIONCONSUMIDOR@MMM.COM;IMPORTADORA Y MANUFACTURERA;1;IMPORTADORA Y MANUFACTURERA;METROPOLITANA;2;1;IMPORTADORA Y MANUFACTURERA;1;
96931710-9;AITEC S.A;2222049000;AV. ELIODORO YA¥EZ 1812;PROVIDENCIA;SANTIAGO;VENTAS@AITEC.CL;COMERCIO MAYORISTA Y ELABORACION DE PROYECTOS ;1;COMERCIO MAYORISTA Y ELABORACION DE PROYECTOS ;METROPOLITANA;2;1;COMERCIO MAYORISTA Y ELABORACION DE PROYECTOS ;1;
93635000-3;ALMACENES LAS DOS ESTRELLAS S.A.;572422597;SOTOMAYOR 2335;IQUIQUE;IQUIQUE;COMERCIAL@ALMACENESLASDOSESTRELLAS.CL;FERRETERIA;1;FERRETERIA;TARAPACA;2;1;FERRETERIA;1;
81440500-1;ALVARO CASANOVA MAQUINARIAS LTDA.;2224724300;AV. MANUEL ANTONIO MATTA 1300;SANTIAGO;SANTIAGO;CCORTEZ@ACO.CL;FERRETERIA INDUSTRIAL - MAQUINARIAS MADERERAS Y METALMECANICAS;1;FERRETERIA INDUSTRIAL - MAQUINARIAS MADERERAS Y METALMECANICAS;METROPOLITANA;2;1;FERRETERIA INDUSTRIAL - MAQUINARIAS MADERERAS Y METALMECANICAS;1;
84716400-K;B. BOSCH S.A.;2226208700;AV. AMERICO VESPUCIO NORTE 2150;QUILICURA;SANTIAGO;COMERCIAL@BBOSCH.CL;INGENIERIA Y CONSTRUCCION, MAESTRANZA, FERRETERIA ELECTRICA, GALVANIZACION, MANTENIMIENTO;1;INGENIERIA Y CONSTRUCCION, MAESTRANZA, FERRETERIA ELECTRICA, GALVANIZACION, MANTENIMIENTO;METROPOLITANA;2;1;INGENIERIA Y CONSTRUCCION, MAESTRANZA, FERRETERIA ELECTRICA, GALVANIZACION, MANTENIMIENTO;1;
84210100-K;CASA MUSA ELECTROTECNICA LTDA.;2226920000;SAN ISIDRO 1675;SANTIAGO;SANTIAGO;MALVARADO@CASAMUSA.CL;MATERIALES ELECTRICOS E ILUMINACION;1;MATERIALES ELECTRICOS E ILUMINACION;METROPOLITANA;2;1;MATERIALES ELECTRICOS E ILUMINACION;1;
80173000-0;CASARINO Y CIA. LTDA.;342421111;AV. ARGENTINA 432;LOS ANDES;LOS ANDES;CASARINO@CASARINO.CL;DISTRIBUIDORES DE MATERIALES DE CONSTRUCCION, FERRETERIA Y PLACACENTRO;1;DISTRIBUIDORES DE MATERIALES DE CONSTRUCCION, FERRETERIA Y PLACACENTRO;VALPARAISO;2;1;DISTRIBUIDORES DE MATERIALES DE CONSTRUCCION, FERRETERIA Y PLACACENTRO;1;
96726970-0;CHILEMAR SPA;2224998600;SANTA JOSEFINA 11681, PARQUE INDUSTRIAL ESTRELLA DEL SUR;SAN BERNARDO;SANTIAGO;GERENCIA@CHILEMAT.CL;COMPRA Y VENTA DE ARTICULOS DE FERRETERIA;1;COMPRA Y VENTA DE ARTICULOS DE FERRETERIA;METROPOLITANA;2;1;COMPRA Y VENTA DE ARTICULOS DE FERRETERIA;1;
93125000-0;CODITEC, COMPA¥ÖA DISTRIBUIDORA TECNICA S.A.;2229644482;LOS GOBELINOS 2512 OF. 2-N BODEGA 2-G;RENCA;SANTIAGO;VENTAS@CODITEC.CL;FERRETERIA INDUSTRIAL ;1;FERRETERIA INDUSTRIAL ;METROPOLITANA;2;1;FERRETERIA INDUSTRIAL ;1;
79550730-2;COMERCIAL LARRAIN S.A;2222747507;AV. PEDRO DE VALDIVIA 3637, CASA MATRIZ;¥U¥OA;SANTIAGO;GERENCIA@COMLARRAIN.CL;DISTRIBUIDORA DE MATERIALES PARA LA CONSTRUCCION Y ELECTRICOS;1;DISTRIBUIDORA DE MATERIALES PARA LA CONSTRUCCION Y ELECTRICOS;METROPOLITANA;2;1;DISTRIBUIDORA DE MATERIALES PARA LA CONSTRUCCION Y ELECTRICOS;1;
